"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 2019 to Mar 2020","Wales","South West thousands","2,979",2979,25,"Between regions"
"Apr 2019 to Mar 2020","Wales","Scotland thousands","41",41,25,"Between regions"
"Apr 2019 to Mar 2020","Wales","Journeys within Wales thousands","20,504",20504,25,"Within region"
"Apr 2019 to Mar 2020","West Midlands","North East thousands","240",240,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","North West thousands","5,832",5832,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","Yorkshire and the Humber thousands","999",999,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","East Midlands thousands","4,986",4986,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","East England thousands","957",957,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","London thousands","13,750",13750,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","South East thousands","3,543",3543,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","South West thousands","1,943",1943,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","Wales thousands","1,317",1317,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","Scotland thousands","420",420,25,"Between regions"
"Apr 2019 to Mar 2020","West Midlands","Journeys within West Midlands thousands","65,458",65458,25,"Within region"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","North East thousands","3,193",3193,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","North West thousands","10,262",10262,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","East Midlands thousands","4,315",4315,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","West Midlands thousands","999",999,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","East England thousands","991",991,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","London thousands","7,256",7256,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","South East thousands","730",730,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","South West thousands","377",377,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","Wales thousands","134",134,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","Scotland thousands","1,001",1001,25,"Between regions"
"Apr 2019 to Mar 2020","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","44,527",44527,25,"Within region"
"Apr 2020 to Mar 2021","East Midlands","North East thousands","42",42,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","North West thousands","677",677,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","Yorkshire and the Humber thousands","939",939,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","West Midlands thousands","899",899,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","East England thousands","432",432,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","London thousands","1,355",1355,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","South East thousands","266",266,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","South West thousands","58",58,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","Wales thousands","18",18,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","Scotland thousands","36",36,26,"Between regions"
"Apr 2020 to Mar 2021","East Midlands","Journeys within East Midlands thousands","2,359",2359,26,"Within region"
"Apr 2020 to Mar 2021","East England","North East thousands","67",67,26,"Between regions"
"Apr 2020 to Mar 2021","East England","North West thousands","100",100,26,"Between regions"
"Apr 2020 to Mar 2021","East England","Yorkshire and the Humber thousands","193",193,26,"Between regions"
"Apr 2020 to Mar 2021","East England","East Midlands thousands","432",432,26,"Between regions"
"Apr 2020 to Mar 2021","East England","West Midlands thousands","154",154,26,"Between regions"
"Apr 2020 to Mar 2021","East England","London thousands","25,435",25435,26,"Between regions"
"Apr 2020 to Mar 2021","East England","South East thousands","783",783,26,"Between regions"
"Apr 2020 to Mar 2021","East England","South West thousands","116",116,26,"Between regions"
"Apr 2020 to Mar 2021","East England","Wales thousands","23",23,26,"Between regions"
"Apr 2020 to Mar 2021","East England","Scotland thousands","57",57,26,"Between regions"
"Apr 2020 to Mar 2021","East England","Journeys within East England thousands","12,248",12248,26,"Within region"
"Apr 2020 to Mar 2021","London","North East thousands","391",391,26,"Between regions"
"Apr 2020 to Mar 2021","London","North West thousands","1,435",1435,26,"Between regions"
"Apr 2020 to Mar 2021","London","Yorkshire and the Humber thousands","954",954,26,"Between regions"
"Apr 2020 to Mar 2021","London","East Midlands thousands","1,355",1355,26,"Between regions"
"Apr 2020 to Mar 2021","London","West Midlands thousands","1,898",1898,26,"Between regions"
"Apr 2020 to Mar 2021","London","East England thousands","25,435",25435,26,"Between regions"
"Apr 2020 to Mar 2021","London","South East thousands","31,845",31845,26,"Between regions"
"Apr 2020 to Mar 2021","London","South West thousands","1,861",1861,26,"Between regions"
"Apr 2020 to Mar 2021","London","Wales thousands","267",267,26,"Between regions"
"Apr 2020 to Mar 2021","London","Scotland thousands","319",319,26,"Between regions"
"Apr 2020 to Mar 2021","London","Journeys within London thousands","148,710",148710,26,"Within region"
"Apr 2020 to Mar 2021","North East","North West thousands","208",208,26,"Between regions"
"Apr 2020 to Mar 2021","North East","Yorkshire and the Humber thousands","656",656,26,"Between regions"
"Apr 2020 to Mar 2021","North East","East Midlands thousands","42",42,26,"Between regions"
"Apr 2020 to Mar 2021","North East","West Midlands thousands","23",23,26,"Between regions"
"Apr 2020 to Mar 2021","North East","East England thousands","67",67,26,"Between regions"
"Apr 2020 to Mar 2021","North East","London thousands","391",391,26,"Between regions"
"Apr 2020 to Mar 2021","North East","South East thousands","38",38,26,"Between regions"
"Apr 2020 to Mar 2021","North East","South West thousands","19",19,26,"Between regions"
"Apr 2020 to Mar 2021","North East","Wales thousands","4",4,26,"Between regions"
"Apr 2020 to Mar 2021","North East","Scotland thousands","306",306,26,"Between regions"
"Apr 2020 to Mar 2021","North East","Journeys within North East thousands","1,418",1418,26,"Within region"
"Apr 2020 to Mar 2021","North West","North East thousands","208",208,26,"Between regions"
"Apr 2020 to Mar 2021","North West","Yorkshire and the Humber thousands","1,731",1731,26,"Between regions"
"Apr 2020 to Mar 2021","North West","East Midlands thousands","677",677,26,"Between regions"
"Apr 2020 to Mar 2021","North West","West Midlands thousands","1,007",1007,26,"Between regions"
"Apr 2020 to Mar 2021","North West","East England thousands","100",100,26,"Between regions"
"Apr 2020 to Mar 2021","North West","London thousands","1,435",1435,26,"Between regions"
"Apr 2020 to Mar 2021","North West","South East thousands","238",238,26,"Between regions"
"Apr 2020 to Mar 2021","North West","South West thousands","83",83,26,"Between regions"
"Apr 2020 to Mar 2021","North West","Wales thousands","359",359,26,"Between regions"
"Apr 2020 to Mar 2021","North West","Scotland thousands","416",416,26,"Between regions"
"Apr 2020 to Mar 2021","North West","Journeys within North West thousands","24,371",24371,26,"Within region"
"Apr 2020 to Mar 2021","Scotland","North East thousands","306",306,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","North West thousands","416",416,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","Yorkshire and the Humber thousands","118",118,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","East Midlands thousands","36",36,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","West Midlands thousands","43",43,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","East England thousands","57",57,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","London thousands","319",319,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","South East thousands","39",39,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","South West thousands","15",15,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","Wales thousands","6",6,26,"Between regions"
"Apr 2020 to Mar 2021","Scotland","Journeys within Scotland thousands","14,210",14210,26,"Within region"
"Apr 2020 to Mar 2021","South East","North East thousands","38",38,26,"Between regions"
"Apr 2020 to Mar 2021","South East","North West thousands","238",238,26,"Between regions"
"Apr 2020 to Mar 2021","South East","Yorkshire and the Humber thousands","90",90,26,"Between regions"
"Apr 2020 to Mar 2021","South East","East Midlands thousands","266",266,26,"Between regions"
"Apr 2020 to Mar 2021","South East","West Midlands thousands","620",620,26,"Between regions"
"Apr 2020 to Mar 2021","South East","East England thousands","783",783,26,"Between regions"
"Apr 2020 to Mar 2021","South East","London thousands","31,845",31845,26,"Between regions"
"Apr 2020 to Mar 2021","South East","South West thousands","1,486",1486,26,"Between regions"
"Apr 2020 to Mar 2021","South East","Wales thousands","84",84,26,"Between regions"
"Apr 2020 to Mar 2021","South East","Scotland thousands","39",39,26,"Between regions"
"Apr 2020 to Mar 2021","South East","Journeys within South East thousands","26,691",26691,26,"Within region"
"Apr 2020 to Mar 2021","South West","North East thousands","19",19,26,"Between regions"
"Apr 2020 to Mar 2021","South West","North West thousands","83",83,26,"Between regions"
"Apr 2020 to Mar 2021","South West","Yorkshire and the Humber thousands","53",53,26,"Between regions"
"Apr 2020 to Mar 2021","South West","East Midlands thousands","58",58,26,"Between regions"
"Apr 2020 to Mar 2021","South West","West Midlands thousands","325",325,26,"Between regions"
"Apr 2020 to Mar 2021","South West","East England thousands","116",116,26,"Between regions"
"Apr 2020 to Mar 2021","South West","London thousands","1,861",1861,26,"Between regions"
"Apr 2020 to Mar 2021","South West","South East thousands","1,486",1486,26,"Between regions"
"Apr 2020 to Mar 2021","South West","Wales thousands","492",492,26,"Between regions"
"Apr 2020 to Mar 2021","South West","Scotland thousands","15",15,26,"Between regions"
"Apr 2020 to Mar 2021","South West","Journeys within South West thousands","7,622",7622,26,"Within region"
"Apr 2020 to Mar 2021","Wales","North East thousands","4",4,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","North West thousands","359",359,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","Yorkshire and the Humber thousands","16",16,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","East Midlands thousands","18",18,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","West Midlands thousands","322",322,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","East England thousands","23",23,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","London thousands","267",267,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","South East thousands","84",84,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","South West thousands","492",492,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","Scotland thousands","6",6,26,"Between regions"
"Apr 2020 to Mar 2021","Wales","Journeys within Wales thousands","3,543",3543,26,"Within region"
"Apr 2020 to Mar 2021","West Midlands","North East thousands","23",23,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","North West thousands","1,007",1007,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","Yorkshire and the Humber thousands","137",137,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","East Midlands thousands","899",899,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","East England thousands","154",154,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","London thousands","1,898",1898,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","South East thousands","620",620,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","South West thousands","325",325,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","Wales thousands","322",322,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","Scotland thousands","43",43,26,"Between regions"
"Apr 2020 to Mar 2021","West Midlands","Journeys within West Midlands thousands","12,743",12743,26,"Within region"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","North East thousands","656",656,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","North West thousands","1,731",1731,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","East Midlands thousands","939",939,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","West Midlands thousands","137",137,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","East England thousands","193",193,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","London thousands","954",954,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","South East thousands","90",90,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","South West thousands","53",53,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","Wales thousands","16",16,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","Scotland thousands","118",118,26,"Between regions"
"Apr 2020 to Mar 2021","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","10,395",10395,26,"Within region"
"Apr 2021 to Mar 2022","East Midlands","North East thousands","147",147,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","North West thousands","2,215",2215,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","Yorkshire and the Humber thousands","3,518",3518,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","West Midlands thousands","3,215",3215,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","East England thousands","1,353",1353,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","London thousands","5,221",5221,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","South East thousands","769",769,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","South West thousands","225",225,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","Wales thousands","73",73,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","Scotland thousands","172",172,27,"Between regions"
"Apr 2021 to Mar 2022","East Midlands","Journeys within East Midlands thousands","7,194",7194,27,"Within region"
"Apr 2021 to Mar 2022","East England","North East thousands","262",262,27,"Between regions"
"Apr 2021 to Mar 2022","East England","North West thousands","405",405,27,"Between regions"
"Apr 2021 to Mar 2022","East England","Yorkshire and the Humber thousands","766",766,27,"Between regions"
"Apr 2021 to Mar 2022","East England","East Midlands thousands","1,353",1353,27,"Between regions"
"Apr 2021 to Mar 2022","East England","West Midlands thousands","495",495,27,"Between regions"
"Apr 2021 to Mar 2022","East England","London thousands","72,845",72845,27,"Between regions"
"Apr 2021 to Mar 2022","East England","South East thousands","2,234",2234,27,"Between regions"
"Apr 2021 to Mar 2022","East England","South West thousands","408",408,27,"Between regions"
"Apr 2021 to Mar 2022","East England","Wales thousands","86",86,27,"Between regions"
"Apr 2021 to Mar 2022","East England","Scotland thousands","260",260,27,"Between regions"
"Apr 2021 to Mar 2022","East England","Journeys within East England thousands","27,645",27645,27,"Within region"
"Apr 2021 to Mar 2022","London","North East thousands","2,107",2107,27,"Between regions"
"Apr 2021 to Mar 2022","London","North West thousands","6,562",6562,27,"Between regions"
"Apr 2021 to Mar 2022","London","Yorkshire and the Humber thousands","5,096",5096,27,"Between regions"
"Apr 2021 to Mar 2022","London","East Midlands thousands","5,221",5221,27,"Between regions"
"Apr 2021 to Mar 2022","London","West Midlands thousands","7,222",7222,27,"Between regions"
"Apr 2021 to Mar 2022","London","East England thousands","72,845",72845,27,"Between regions"
"Apr 2021 to Mar 2022","London","South East thousands","99,701",99701,27,"Between regions"
"Apr 2021 to Mar 2022","London","South West thousands","7,807",7807,27,"Between regions"
"Apr 2021 to Mar 2022","London","Wales thousands","1,355",1355,27,"Between regions"
"Apr 2021 to Mar 2022","London","Scotland thousands","2,185",2185,27,"Between regions"
"Apr 2021 to Mar 2022","London","Journeys within London thousands","322,225",322225,27,"Within region"
"Apr 2021 to Mar 2022","North East","North West thousands","894",894,27,"Between regions"
"Apr 2021 to Mar 2022","North East","Yorkshire and the Humber thousands","2,651",2651,27,"Between regions"
"Apr 2021 to Mar 2022","North East","East Midlands thousands","147",147,27,"Between regions"
"Apr 2021 to Mar 2022","North East","West Midlands thousands","100",100,27,"Between regions"
"Apr 2021 to Mar 2022","North East","East England thousands","262",262,27,"Between regions"
"Apr 2021 to Mar 2022","North East","London thousands","2,107",2107,27,"Between regions"
"Apr 2021 to Mar 2022","North East","South East thousands","149",149,27,"Between regions"
"Apr 2021 to Mar 2022","North East","South West thousands","66",66,27,"Between regions"
"Apr 2021 to Mar 2022","North East","Wales thousands","14",14,27,"Between regions"
"Apr 2021 to Mar 2022","North East","Scotland thousands","1,597",1597,27,"Between regions"
"Apr 2021 to Mar 2022","North East","Journeys within North East thousands","5,189",5189,27,"Within region"
"Apr 2021 to Mar 2022","North West","North East thousands","894",894,27,"Between regions"
"Apr 2021 to Mar 2022","North West","Yorkshire and the Humber thousands","6,999",6999,27,"Between regions"
"Apr 2021 to Mar 2022","North West","East Midlands thousands","2,215",2215,27,"Between regions"
"Apr 2021 to Mar 2022","North West","West Midlands thousands","3,930",3930,27,"Between regions"
"Apr 2021 to Mar 2022","North West","East England thousands","405",405,27,"Between regions"
"Apr 2021 to Mar 2022","North West","London thousands","6,562",6562,27,"Between regions"
"Apr 2021 to Mar 2022","North West","South East thousands","1,038",1038,27,"Between regions"
"Apr 2021 to Mar 2022","North West","South West thousands","365",365,27,"Between regions"
"Apr 2021 to Mar 2022","North West","Wales thousands","1,492",1492,27,"Between regions"
"Apr 2021 to Mar 2022","North West","Scotland thousands","2,036",2036,27,"Between regions"
"Apr 2021 to Mar 2022","North West","Journeys within North West thousands","68,103",68103,27,"Within region"
"Apr 2021 to Mar 2022","Scotland","North East thousands","1,597",1597,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","North West thousands","2,036",2036,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","Yorkshire and the Humber thousands","695",695,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","East Midlands thousands","172",172,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","West Midlands thousands","232",232,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","East England thousands","260",260,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","London thousands","2,185",2185,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","South East thousands","168",168,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","South West thousands","53",53,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","Wales thousands","23",23,27,"Between regions"
"Apr 2021 to Mar 2022","Scotland","Journeys within Scotland thousands","45,097",45097,27,"Within region"
"Apr 2021 to Mar 2022","South East","North East thousands","149",149,27,"Between regions"
"Apr 2021 to Mar 2022","South East","North West thousands","1,038",1038,27,"Between regions"
"Apr 2021 to Mar 2022","South East","Yorkshire and the Humber thousands","356",356,27,"Between regions"
"Apr 2021 to Mar 2022","South East","East Midlands thousands","769",769,27,"Between regions"
"Apr 2021 to Mar 2022","South East","West Midlands thousands","2,297",2297,27,"Between regions"
"Apr 2021 to Mar 2022","South East","East England thousands","2,234",2234,27,"Between regions"
"Apr 2021 to Mar 2022","South East","London thousands","99,701",99701,27,"Between regions"
"Apr 2021 to Mar 2022","South East","South West thousands","4,758",4758,27,"Between regions"
"Apr 2021 to Mar 2022","South East","Wales thousands","358",358,27,"Between regions"
"Apr 2021 to Mar 2022","South East","Scotland thousands","168",168,27,"Between regions"
"Apr 2021 to Mar 2022","South East","Journeys within South East thousands","61,301",61301,27,"Within region"
"Apr 2021 to Mar 2022","South West","North East thousands","66",66,27,"Between regions"
"Apr 2021 to Mar 2022","South West","North West thousands","365",365,27,"Between regions"
"Apr 2021 to Mar 2022","South West","Yorkshire and the Humber thousands","231",231,27,"Between regions"
"Apr 2021 to Mar 2022","South West","East Midlands thousands","225",225,27,"Between regions"
"Apr 2021 to Mar 2022","South West","West Midlands thousands","1,277",1277,27,"Between regions"
"Apr 2021 to Mar 2022","South West","East England thousands","408",408,27,"Between regions"
"Apr 2021 to Mar 2022","South West","London thousands","7,807",7807,27,"Between regions"
"Apr 2021 to Mar 2022","South West","South East thousands","4,758",4758,27,"Between regions"
"Apr 2021 to Mar 2022","South West","Wales thousands","1,979",1979,27,"Between regions"
"Apr 2021 to Mar 2022","South West","Scotland thousands","53",53,27,"Between regions"
"Apr 2021 to Mar 2022","South West","Journeys within South West thousands","19,794",19794,27,"Within region"
"Apr 2021 to Mar 2022","Wales","North East thousands","14",14,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","North West thousands","1,492",1492,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","Yorkshire and the Humber thousands","58",58,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","East Midlands thousands","73",73,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","West Midlands thousands","943",943,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","East England thousands","86",86,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","London thousands","1,355",1355,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","South East thousands","358",358,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","South West thousands","1,979",1979,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","Scotland thousands","23",23,27,"Between regions"
"Apr 2021 to Mar 2022","Wales","Journeys within Wales thousands","11,326",11326,27,"Within region"
"Apr 2021 to Mar 2022","West Midlands","North East thousands","100",100,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","North West thousands","3,930",3930,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","Yorkshire and the Humber thousands","501",501,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","East Midlands thousands","3,215",3215,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","East England thousands","495",495,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","London thousands","7,222",7222,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","South East thousands","2,297",2297,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","South West thousands","1,277",1277,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","Wales thousands","943",943,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","Scotland thousands","232",232,27,"Between regions"
"Apr 2021 to Mar 2022","West Midlands","Journeys within West Midlands thousands","33,821",33821,27,"Within region"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","North East thousands","2,651",2651,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","North West thousands","6,999",6999,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","East Midlands thousands","3,518",3518,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","West Midlands thousands","501",501,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","East England thousands","766",766,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","London thousands","5,096",5096,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","South East thousands","356",356,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","South West thousands","231",231,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","Wales thousands","58",58,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","Scotland thousands","695",695,27,"Between regions"
"Apr 2021 to Mar 2022","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","30,582",30582,27,"Within region"
"Apr 2022 to Mar 2023","East Midlands","North East thousands","201",201,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","North West thousands","2,739",2739,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","Yorkshire and the Humber thousands","3,842",3842,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","West Midlands thousands","3,970",3970,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","East England thousands","1,615",1615,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","London thousands","7,933",7933,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","South East thousands","953",953,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","South West thousands","290",290,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","Wales thousands","99",99,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","Scotland thousands","211",211,28,"Between regions"
"Apr 2022 to Mar 2023","East Midlands","Journeys within East Midlands thousands","8,080",8080,28,"Within region"
"Apr 2022 to Mar 2023","East England","North East thousands","316",316,28,"Between regions"
"Apr 2022 to Mar 2023","East England","North West thousands","510",510,28,"Between regions"
"Apr 2022 to Mar 2023","East England","Yorkshire and the Humber thousands","958",958,28,"Between regions"
"Apr 2022 to Mar 2023","East England","East Midlands thousands","1,615",1615,28,"Between regions"
"Apr 2022 to Mar 2023","East England","West Midlands thousands","694",694,28,"Between regions"
"Apr 2022 to Mar 2023","East England","London thousands","105,053",105053,28,"Between regions"
"Apr 2022 to Mar 2023","East England","South East thousands","3,282",3282,28,"Between regions"
"Apr 2022 to Mar 2023","East England","South West thousands","497",497,28,"Between regions"
"Apr 2022 to Mar 2023","East England","Wales thousands","114",114,28,"Between regions"
"Apr 2022 to Mar 2023","East England","Scotland thousands","307",307,28,"Between regions"
"Apr 2022 to Mar 2023","East England","Journeys within East England thousands","31,008",31008,28,"Within region"
"Apr 2022 to Mar 2023","London","North East thousands","2,840",2840,28,"Between regions"
"Apr 2022 to Mar 2023","London","North West thousands","8,428",8428,28,"Between regions"
"Apr 2022 to Mar 2023","London","Yorkshire and the Humber thousands","7,175",7175,28,"Between regions"
"Apr 2022 to Mar 2023","London","East Midlands thousands","7,933",7933,28,"Between regions"
"Apr 2022 to Mar 2023","London","West Midlands thousands","9,797",9797,28,"Between regions"
"Apr 2022 to Mar 2023","London","East England thousands","105,053",105053,28,"Between regions"
"Apr 2022 to Mar 2023","London","South East thousands","145,096",145096,28,"Between regions"
"Apr 2022 to Mar 2023","London","South West thousands","11,442",11442,28,"Between regions"
"Apr 2022 to Mar 2023","London","Wales thousands","2,073",2073,28,"Between regions"
"Apr 2022 to Mar 2023","London","Scotland thousands","3,234",3234,28,"Between regions"
"Apr 2022 to Mar 2023","London","Journeys within London thousands","497,429",497429,28,"Within region"
"Apr 2022 to Mar 2023","North East","North West thousands","1,106",1106,28,"Between regions"
"Apr 2022 to Mar 2023","North East","Yorkshire and the Humber thousands","2,629",2629,28,"Between regions"
"Apr 2022 to Mar 2023","North East","East Midlands thousands","201",201,28,"Between regions"
"Apr 2022 to Mar 2023","North East","West Midlands thousands","172",172,28,"Between regions"
"Apr 2022 to Mar 2023","North East","East England thousands","316",316,28,"Between regions"
"Apr 2022 to Mar 2023","North East","London thousands","2,840",2840,28,"Between regions"
"Apr 2022 to Mar 2023","North East","South East thousands","184",184,28,"Between regions"
"Apr 2022 to Mar 2023","North East","South West thousands","86",86,28,"Between regions"
"Apr 2022 to Mar 2023","North East","Wales thousands","20",20,28,"Between regions"
"Apr 2022 to Mar 2023","North East","Scotland thousands","1,836",1836,28,"Between regions"
"Apr 2022 to Mar 2023","North East","Journeys within North East thousands","5,849",5849,28,"Within region"
"Apr 2022 to Mar 2023","North West","North East thousands","1,106",1106,28,"Between regions"
"Apr 2022 to Mar 2023","North West","Yorkshire and the Humber thousands","8,437",8437,28,"Between regions"
"Apr 2022 to Mar 2023","North West","East Midlands thousands","2,739",2739,28,"Between regions"
"Apr 2022 to Mar 2023","North West","West Midlands thousands","4,540",4540,28,"Between regions"
"Apr 2022 to Mar 2023","North West","East England thousands","510",510,28,"Between regions"
"Apr 2022 to Mar 2023","North West","London thousands","8,428",8428,28,"Between regions"
"Apr 2022 to Mar 2023","North West","South East thousands","1,158",1158,28,"Between regions"
"Apr 2022 to Mar 2023","North West","South West thousands","514",514,28,"Between regions"
"Apr 2022 to Mar 2023","North West","Wales thousands","1,884",1884,28,"Between regions"
"Apr 2022 to Mar 2023","North West","Scotland thousands","2,049",2049,28,"Between regions"
"Apr 2022 to Mar 2023","North West","Journeys within North West thousands","75,521",75521,28,"Within region"
"Apr 2022 to Mar 2023","Scotland","North East thousands","1,836",1836,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","North West thousands","2,049",2049,28,"Between regions"
"Apr 2022 to Mar 2023","Scotland","Yorkshire and the Humber thousands","886",886,28,"Between regions"
